strain,type,rating,effects,flavor
Black-Roses,indica,4.0,"Relaxed,Sleepy,Uplifted,Euphoric,Focused","Earthy, Flowery, Fruity"
Black-Russian,indica,4.3,"Relaxed,Sleepy,Uplifted,Happy,Hungry","Berry,Citrus,Earthy"
Black-Tuna,hybrid,4.5,"Relaxed,Happy,Sleepy,Euphoric,Hungry","Woody,Skunk,Earthy"
Black-Velvet,hybrid,3.9,"Sleepy,Happy,Hungry,Relaxed,Euphoric","Citrus,Flowery,Sweet"
Black-Widow,hybrid,4.1,"Happy,Relaxed,Euphoric,Sleepy,Uplifted","Pungent,Sweet,Earthy"
Blackberry,hybrid,4.2,"Relaxed,Euphoric,Happy,Uplifted,Sleepy","Berry,Sweet,Earthy"
Blackberry-Bubble,indica,4.7,"Relaxed,Happy,Euphoric,Uplifted,Creative","Blueberry,Berry,Skunk"
Blackberry-Chem-Og,hybrid,4.3,"Talkative,Creative,Focused,Relaxed,Euphoric","Berry,Chemical"
Blackberry-Cream,indica,4.8,"Relaxed,Happy,Uplifted,Sleepy,Euphoric","Berry,Sweet,Vanilla"
Blackberry-Diesel,sativa,4.1,"Happy,Energetic,Relaxed,Euphoric,Talkative","Diesel, Spicy,Herbal, Pungent"
Blackberry-Dream,hybrid,4.2,"Happy,Energetic,Uplifted,Relaxed,Talkative","Spicy,Herbal, Sweet, Grapefruit"
Blackberry-Fire,hybrid,5.0,"Creative,Happy","Blueberry,Berry,Sweet"
Blackberry-Hashplant,indica,3.7,"Euphoric,Sleepy,Uplifted,Energetic,Happy","Berry,Sweet,Earthy"
Blackberry-Haze,sativa,4.5,"Happy,Relaxed,Uplifted,Hungry,Focused","Berry, Sweet, Spicy,Herbal"
Blackberry-Kush,indica,4.3,"Relaxed,Sleepy,Happy,Euphoric,Hungry","Berry,Sweet,Earthy"
Blackberry-Lime-Haze,sativa,4.7,"Happy,Uplifted,Euphoric,Talkative,Focused","Berry,Sweet,Lime"
Blackberry-Pie,hybrid,4.7,"Euphoric,Creative,Hungry,Relaxed,Happy","Blueberry,Berry,Sweet"
Blackberry-Rhino,indica,4.3,"Relaxed,Happy,Creative,Hungry,Sleepy","Berry, Sweet, Spicy,Herbal"
Blackberry-Trainwreck,hybrid,4.3,"Relaxed,Euphoric,Happy,Uplifted,Energetic","Berry,Pungent,Sweet"
Blackberry-X-Blueberry,indica,4.3,"Relaxed,Happy,Uplifted,Euphoric,Creative","Blueberry,Berry,Earthy"
Blackwater,indica,4.6,"Relaxed,Sleepy,Euphoric,Happy,Hungry","Berry,Grape,Earthy"
Blaze,sativa,4.3,"Euphoric,Energetic,Talkative,Creative,Aroused","Blueberry,Berry,Sweet"
Blissful-Wizard,hybrid,4.8,"Happy,Talkative,Euphoric,Relaxed,Uplifted","Pungent,Vanilla,Earthy"
Blizzard-Bush,hybrid,4.3,"Relaxed, Happy, Uplifted","Sweet, Diesel, Pepper"
Blob-Og,hybrid,4.7,"Euphoric,Talkative,Uplifted,Creative,Happy","Chemical,Diesel,Lemon"
Blockhead,hybrid,4.2,"Relaxed,Happy,Hungry,Uplifted,Euphoric","Pungent,Flowery,Woody"
Blood-Orange-Kush,indica,5.0,"Sleepy,Uplifted,Euphoric,Happy,Creative","Citrus,Diesel,Orange"
Bloodhound,hybrid,4.2,"Happy,Relaxed,Focused,Talkative,Euphoric","Earthy, Sage, Spicy,Herbal"
Bloos-Kloos,indica,4.6,"Creative,Relaxed,Happy,Euphoric,Focused","Berry,Flowery,Earthy"
Blowfish,hybrid,4.2,"Relaxed,Uplifted,Happy,Euphoric,Tingly","Spicy,Herbal, Pepper, Sage"
Blucifer,sativa,4.3,"Happy,Uplifted,Relaxed,Talkative,Focused","Blueberry, Spicy,Herbal, Berry"
Blue-Afghani,indica,4.4,"Relaxed,Happy,Euphoric,Uplifted,Sleepy","Blueberry,Pungent,Woody"
Blue-Alien,indica,4.5,"Relaxed,Happy,Euphoric,Uplifted,Hungry","Blueberry,Berry,Citrus"
Blue-Bastard,indica,3.8,"Euphoric,Happy,Sleepy,Uplifted,Creative","Berry,Pine"
Blue-Bayou,sativa,2.8,"Giggly,Uplifted,Creative,Happy,Sleepy",Sweet
Blue-Blood,indica,4.2,"Relaxed,Sleepy,Hungry,Talkative,Focused","Blueberry,Sweet,Earthy"
Blue-Boy,hybrid,4.1,"Happy,Relaxed,Giggly,Euphoric,Aroused","Pungent,Flowery,Earthy"
Blue-Buddha,indica,4.9,"Relaxed,Euphoric,Sleepy,Uplifted,Happy","Blueberry,Citrus,Cheese"
Blue-Champange,hybrid,4.4,"Uplifted,Happy,Relaxed,Creative,Euphoric","Blueberry,Berry,Sweet"
Blue-Cheese,indica,4.3,"Relaxed,Happy,Euphoric,Sleepy,Hungry","Cheese,Blueberry"
Blue-Cinex,hybrid,4.7,"Focused,Uplifted,Happy,Energetic,Sleepy","Blueberry,Earthy"
Blue-Cookies,hybrid,4.7,"Relaxed,Euphoric,Happy,Uplifted,Creative","Blueberry,Berry,Sweet"
Blue-Crack,hybrid,4.2,"Happy,Relaxed,Uplifted,Energetic,Focused","Blueberry,Berry,Sweet"
Blue-Diamond,indica,4.4,"Euphoric,Relaxed,Happy,Sleepy,Talkative","Sweet,Tree,Fruity,Pineapple"
Blue-Diesel,hybrid,4.4,"Relaxed,Euphoric,Uplifted,Happy,Creative","Blueberry,Berry,Diesel"
Blue-Dot,sativa,4.7,"Energetic,Happy,Relaxed,Focused,Uplifted","Pungent,Berry,Earthy"
Blue-Dragon,hybrid,4.4,"Euphoric,Uplifted,Relaxed,Happy,Giggly","Blueberry,Berry,Sweet"
Blue-Dream,hybrid,4.4,"Relaxed,Happy,Uplifted,Euphoric,Creative","Blueberry,Berry,Sweet"
Blue-Dynamite,indica,4.3,"Relaxed,Euphoric,Focused,Creative,Sleepy","Berry, Spicy,Herbal, Pine"
Blue-Frost,hybrid,4.5,"Uplifted,Happy,Relaxed,Euphoric,Creative","Blueberry,Menthol,Cheese"
Blue-Galaxy,hybrid,4.7,"Relaxed,Happy,Talkative,Creative,Energetic","Blueberry,Berry,Earthy"
Blue-God,indica,4.7,"Relaxed,Happy,Sleepy,Euphoric,Hungry","Blueberry,Berry,Sweet"
Blue-Goo,hybrid,4.1,"Happy,Uplifted,Creative,Energetic,Talkative","Berry,Pine,Skunk"
Blue-Hash,hybrid,4.4,"Relaxed,Happy,Euphoric,Sleepy,Uplifted","Blueberry,Sweet,Earthy"
Blue-Hawaiian,hybrid,4.3,"Happy,Uplifted,Relaxed,Euphoric,Energetic","Citrus,Sweet,Earthy"
Blue-Haze,hybrid,4.3,"Uplifted,Euphoric,Relaxed,Happy,Energetic","Blueberry,Flowery,Sweet"
Blue-Heron,hybrid,4.7,"Relaxed,Sleepy,Talkative,Happy,Uplifted","Woody, Spicy,Herbal, Pine"
Blue-Ivy,hybrid,4.4,"Relaxed,Focused,Hungry,Happy,Talkative","Blueberry,Pepper,Earthy"
Blue-Jay-Way,hybrid,4.5,"Relaxed,Uplifted,Focused,Sleepy,Euphoric","Blueberry,Citrus,Sweet"
Blue-Kiss,hybrid,4.7,"Relaxed,Talkative,Creative,Euphoric,Focused","Blueberry,Berry,Sweet"
Blue-Knight,indica,4.7,"Relaxed,Uplifted,Hungry,Happy,Focused","Blueberry,Berry,Sweet"
Blue-Kripple,indica,3.4,"Sleepy,Euphoric,Hungry,Relaxed,Tingly","Grape,Earthy"
Blue-Kush,hybrid,4.5,"Relaxed,Uplifted,Euphoric,Creative,Hungry","Blueberry,Lemon,Pine"
Blue-Lights,indica,4.5,"Relaxed,Euphoric,Happy,Tingly,Uplifted","Blueberry,Berry,Earthy"
Blue-Magic,sativa,4.6,"Relaxed,Focused,Aroused,Sleepy,Euphoric","Citrus,Lemon,Tropical"
Blue-Magoo,hybrid,4.5,"Relaxed,Happy,Uplifted,Euphoric,Giggly","Pungent,Sweet,Earthy"
Blue-Monster,indica,4.7,"Relaxed,Hungry,Talkative,Sleepy,Happy","Berry,Diesel,Sweet"
Blue-Moon-Rocks,hybrid,4.6,"Relaxed,Happy,Uplifted,Euphoric,Focused","Berry,Strawberry,Lavender"
Blue-Moonshine,indica,4.2,"Happy,Relaxed,Euphoric,Sleepy,Focused","Berry,Woody,Earthy"
Blue-Mountain-Fire,sativa,4.0,"Euphoric,Relaxed,Tingly,Uplifted,Happy","Tar,Flowery,Earthy"
Blue-Mystic,indica,4.2,"Happy,Relaxed,Giggly,Energetic,Sleepy","Blueberry,Sweet,Earthy"
Blue-Nightmare,hybrid,4.7,"Euphoric,Relaxed,Happy,Giggly,Creative","Blueberry,Berry,Earthy"
Blue-Nina,hybrid,4.5,"Happy,Talkative,Giggly,Tingly,Euphoric","Blueberry,Flowery"
Blue-Og,hybrid,4.3,"Relaxed,Happy,Euphoric,Hungry,Uplifted","Blueberry,Berry,Earthy"
Blue-Ox,indica,4.5,"Sleepy,Relaxed,Hungry,Talkative,Uplifted","Blueberry,Berry,Flowery"
Blue-Persuasion,hybrid,4.1,"Relaxed,Tingly,Euphoric,Happy,Hungry","Blueberry,Berry,Sweet"
Blue-Power,indica,4.7,"Relaxed,Tingly,Happy,Uplifted,Euphoric","Berry,Sweet,Earthy"
Blue-Rhino,hybrid,4.3,"Sleepy,Relaxed,Focused,Uplifted,Hungry","Blueberry,Berry,Sweet"
Blue-Satellite,sativa,3.9,"Uplifted,Happy,Euphoric,Talkative,Relaxed","Blueberry,Citrus,Sweet"
Blue-Sky,hybrid,4.6,"Happy,Relaxed,Uplifted,Euphoric,Creative","Sweet,Pine,Earthy"
Blue-Steel,indica,4.3,"Uplifted,Relaxed,Euphoric,Happy,Creative","Blueberry,Pungent,Earthy"
Blue-Thai,hybrid,3.7,"Relaxed,Happy,Talkative,Uplifted,Focused","Pungent,Woody,Earthy"
Blue-Train,hybrid,4.4,"Happy,Uplifted,Energetic,Focused,Relaxed","Blueberry,Berry,Sweet"
Blue-Trane,hybrid,4.4,"Relaxed, Sleepy"," Earthy, Sweet,Fruity"
Blue-Treat,hybrid,4.9,"Relaxed,Focused,Happy,Uplifted,Creative","Blueberry,Berry,Earthy"
Blue-Velvet,hybrid,4.3,"Happy,Relaxed,Euphoric,Uplifted,Focused","Diesel,Sweet,Earthy"
Blue-Venom,hybrid,4.7,"Relaxed,Euphoric,Happy,Uplifted,Hungry","Blueberry,Berry,Pine"
Blue-Widow,hybrid,4.2,"Relaxed,Happy,Uplifted,Euphoric,Sleepy","Berry,Sweet,Earthy"
Blue-Wonder,hybrid,5.0,"Uplifted,Happy,Euphoric,Focused,Relaxed",Blueberry
Blue-Wreck,hybrid,4.7,"Sleepy,Happy,Euphoric,Relaxed,Uplifted","Blueberry,Honey,Earthy"
Blue-Zkittlez,indica,4.9,"Aroused,Creative,Happy,Relaxed,Euphoric","Berry,Flowery,Sweet"
Blue-Zombie,indica,4.7,"Relaxed,Euphoric,Hungry,Sleepy,Happy","Pungent,Pepper,Earthy"
Blueberry,indica,4.3,"Relaxed,Happy,Euphoric,Sleepy,Uplifted","Blueberry,Berry,Sweet"
Blueberry-Ak,hybrid,4.9,"Energetic,Relaxed,Euphoric,Happy,Sleepy","Blueberry,Pungent,Sweet"
Blueberry-Blast,sativa,4.4,"Happy,Uplifted,Euphoric,Energetic,Talkative","Blueberry,Berry,Sweet"
Blueberry-Bomb,hybrid,5.0,Relaxed,"Berry,Citrus"
Blueberry-Cheesecake,hybrid,4.3,"Happy,Relaxed,Uplifted,Euphoric,Tingly","Blueberry,Cheese,Sweet"
Blueberry-Diesel,hybrid,4.2,"Uplifted,Happy,Euphoric,Relaxed,Focused","Blueberry,Diesel,Sweet"
Blueberry-Dream,sativa,4.6,"Uplifted,Sleepy,Happy,Relaxed,Focused","Flowery,Sweet,Pine"
Blueberry-Essence,hybrid,4.5,"Relaxed,Happy,Uplifted,Euphoric,Sleepy","Blueberry,Sweet,Mango"
Blueberry-Haze,hybrid,4.2,"Happy,Euphoric,Creative,Uplifted,Energetic","Blueberry,Berry,Sweet"
Blueberry-Headband,hybrid,4.3,"Relaxed,Happy,Uplifted,Talkative,Euphoric","Blueberry,Berry,Earthy"
Blueberry-Jack,hybrid,4.3,"Relaxed,Happy,Creative,Giggly,Hungry","Blueberry,Berry,Pine"
Blueberry-Kush,indica,4.3,"Relaxed,Happy,Euphoric,Sleepy,Uplifted","Blueberry,Berry,Sweet"
Blueberry-Lambsbread,hybrid,4.8,"Relaxed,Happy,Sleepy,Uplifted,Euphoric","Blueberry,Sweet,Earthy"
Blueberry-Muffins,hybrid,4.7,"Relaxed,Euphoric,Uplifted,Happy,Creative","Blueberry,Berry,Earthy"
Blueberry-Og,hybrid,4.6,"Happy,Hungry,Giggly,Euphoric,Talkative","Blueberry,Berry,Flowery"
Blueberry-Pancakes,hybrid,4.5,"Relaxed,Sleepy,Hungry,Happy,Euphoric","Blueberry,Berry,Sweet"
Blueberry-Pie,hybrid,4.4,"Relaxed,Happy,Uplifted,Euphoric,Sleepy","Blueberry,Berry,Earthy"
Blueberry-Silvertip,hybrid,4.6,"Happy,Uplifted,Giggly,Relaxed,Euphoric","Blueberry,Berry,Flowery"
Blueberry-Skunk,indica,4.3,"Euphoric,Relaxed,Uplifted,Creative,Happy","Blueberry,Berry,Skunk"
Blueberry-Space-Cake,indica,5.0,"Euphoric,Relaxed,Tingly,Happy,Giggly","Blueberry,Berry,Tropical"
Blueberry-Trainwreck,hybrid,4.4,"Happy,Uplifted,Energetic,Focused,Relaxed","Blueberry,Berry,Sweet"
Blueberry-Triple-Og,indica,4.0,"Relaxed, Happy, Uplifted, Tingly"," Fruity,Earthy"
Blueberry-Waltz,indica,4.8,"Talkative,Uplifted,Euphoric,Happy,Giggly","Blueberry,Sweet,Tropical"
Blueberry-Yum-Yum,hybrid,4.6,"Happy,Uplifted,Euphoric,Relaxed,Giggly","Blueberry,Berry,Sweet"
Blues,hybrid,4.0,"Happy,Relaxed,Uplifted,Creative,Sleepy","Berry,Sweet,Earthy"
Blukashima,hybrid,5.0,Creative," Spicy,Sweet, Berry"
Bluniverse,hybrid,4.7,"Euphoric,Uplifted,Happy,Tingly,Creative","Blueberry,Berry,Vanilla"
Blurple,hybrid,4.3,"Happy,Euphoric,Energetic,Hungry,Focused","Flowery,Grape,Sweet"
Blush,hybrid,5.0,"Talkative,Creative,Happy,Hungry,Relaxed","Honey,Pepper,Earthy"
Bob-Saget,sativa,4.8,"Uplifted,Happy,Relaxed,Creative,Talkative","Sage,Chemical,Diesel"
Bodega-Bubblegum,hybrid,4.4,"Uplifted, Energized"," Earthy,Sweet, Fruity"
Bog-Bubble,hybrid,4.4,"Uplifted,Happy,Relaxed,Creative,Hungry","Berry,Flowery,Earthy"
Bogart,hybrid,4.0,"Happy,Talkative,Uplifted,Euphoric,Giggly","Citrus,Sweet,Tropical"
Boggle-Gum,hybrid,4.0,"Happy,Relaxed,Hungry,Sleepy,Giggly","Grape,Sweet,Earthy"
Booger,hybrid,4.7,"Happy,Focused,Uplifted,Creative,Giggly","Diesel,Skunk,Earthy"
Boombaye,hybrid,4.6,"Sleepy, Euphoric","Earthy, Sweet, Flowery"
Bootlegger,hybrid,4.5,"Sleepy,Giggly,Hungry,Tingly,Happy","Pungent,Sweet,Earthy"
Bordello,hybrid,4.5,"Relaxed,Euphoric,Uplifted,Happy,Creative","Citrus,Sweet,Pine"
Boss-Hogg,hybrid,4.5,"Relaxed,Happy,Euphoric,Sleepy,Uplifted","Pungent,Sweet,Earthy"
Boysenberry,hybrid,3.6,"Giggly,Relaxed,Talkative,Energetic,Euphoric","Berry,Sweet,Earthy"
Brain-Candy,hybrid,5.0,Creative,Sweet
Brains-Damage,indica,4.4,"Euphoric,Focused,Relaxed,Sleepy,Hungry","Woody,Sweet,Earthy"
Brainstorm-Haze,sativa,3.9,"Talkative,Happy,Uplifted,Focused,Energetic","Minty,Sweet,Earthy"
Brainwreck,hybrid,4.7,"Creative,Focused,Uplifted,Happy,Euphoric","Citrus,Sweet,Earthy"
Brand-X,indica,5.0,"Sleepy,Relaxed,Hungry,Happy,Euphoric","Tar,Pine,Earthy"
Brandywine,indica,4.5,"Relaxed,Happy,Uplifted,Tingly,Euphoric","Honey,Rose,Grape"
Brazil-Amazonia,sativa,4.5,"Uplifted,Euphoric,Focused,Happy,Relaxed","Spicy,Herbal, Berry, Earthy"
Brian-Berry-Cough,hybrid,4.5,"Happy,Uplifted,Relaxed,Energetic,Hungry","Berry,Sweet,Tropical"
Bright-Fire,indica,5.0,"Hungry,Relaxed,Uplifted,Creative,Euphoric","Pungent,Citrus,Earthy"
Bright-Moments,hybrid,4.7,"Social, Euphoric","Grape, Sweet, Flowery"
Broke-Diesel,hybrid,5.0,"Uplifted,Euphoric,Creative,Energetic,Happy"," Sour, Diesel,Sweet"
Bronze-Whaler,indica,4.1,"Hungry,Relaxed"," Citrus, Earthy,Sweet"
Brooklyn-Mango,hybrid,4.9,"Euphoric,Aroused,Uplifted,Happy,Talkative","Citrus,Mango,Tropical"
Bruce-Banner,hybrid,4.6,"Happy,Euphoric,Relaxed,Uplifted,Creative","Pungent,Diesel,Earthy"
Bruce-Banner-3,hybrid,4.6,"Euphoric,Relaxed,Happy,Uplifted,Energetic","Flowery,Sweet,Earthy"
Bsc,hybrid,4.5,"Relaxed,Happy,Hungry,Euphoric,Giggly","Pungent,Sweet,Earthy"
Bubba-Berry,indica,5.0,"Sleepy,Happy,Relaxed"," Spicy,Sweet, Fruity"
Bubba-Doja,indica,4.0,"Relaxed, Sleepy, Euphoric"," Earthy,Woody"
Bubba-Fresh,hybrid,5.0,"Aroused,Sleepy,Tingly,Uplifted,Creative","Citrus,Pine,Earthy"
Bubba-Hash,indica,4.6,"Relaxed, Hungry"," Earthy, Sweet,Spicy"
Bubba-Kush,indica,4.3,"Relaxed,Happy,Sleepy,Euphoric,Hungry","Woody,Sweet,Earthy"
Bubba-Og,indica,4.3,"Happy,Relaxed,Sleepy,Euphoric,Uplifted","Pungent,Sweet,Earthy"
Bubba-Tom-Hayes,hybrid,4.9,"Euphoric,Happy,Uplifted,Creative,Talkative","Pungent,Ammonia,Earthy"
Bubba-X-Skunk,hybrid,5.0,"Creative,Euphoric,Relaxed,Happy,Tingly","Pine,Diesel,Skunk"
Bubbas-Bitch,indica,4.0,"Sleepy,Tingly,Uplifted,Hungry,Relaxed","Flowery,Rose,Earthy"
Bubbas-Gift,indica,4.6,"Relaxed,Euphoric,Happy,Uplifted,Focused","Berry,Flowery,Sweet"
Bubble-Cheese,indica,3.8,"Relaxed,Hungry,Sleepy,Tingly,Talkative","Blueberry,Cheese,Pungent"
Bubble-Gum,hybrid,4.1,"Happy,Relaxed,Euphoric,Uplifted,Hungry","Berry,Flowery,Sweet"
Bubbleberry,hybrid,4.4,"Happy,Relaxed,Focused,Uplifted,Hungry","Blueberry,Berry,Sweet"
Bubblegum-Kush,indica,4.3,"Relaxed,Happy,Sleepy,Uplifted,Talkative","Flowery,Sweet,Earthy"
Bubblegun,hybrid,3.8,"Happy,Focused,Aroused,Talkative,Uplifted","Pepper,Minty,Blueberry"
Bubblicious,hybrid,4.3,"Happy,Relaxed,Talkative,Giggly,Uplifted","Blueberry,Berry,Sweet"
Buckeye-Purple,indica,4.3,"Sleepy,Relaxed,Euphoric,Focused,Happy","Diesel,Grape,Tropical"
Buddha-Haze,sativa,4.6,"Giggly,Happy,Uplifted,Euphoric,Talkative","Nutty,Sweet,Earthy"
Buddha-Tahoe,indica,4.5,"Relaxed,Happy,Euphoric,Uplifted,Hungry","Pungent,Sweet,Earthy"
Buddhas-Hand,hybrid,4.7,"Focused,Euphoric,Energetic,Aroused,Uplifted","Pungent,Citrus,Lemon"
Buddhas-Sister,indica,4.3,"Relaxed,Sleepy,Uplifted,Happy,Euphoric","Flowery,Sweet,Earthy"
Buffalo-Bill,sativa,4.2,"Relaxed,Uplifted,Tingly,Euphoric,Happy","Woody,Pine,Earthy"
Bugatti-Og,hybrid,4.6,"Relaxed,Happy,Uplifted,Hungry,Sleepy","Berry,Pine,Earthy"
Burkle,indica,4.9,"Relaxed,Sleepy,Happy,Euphoric,Uplifted","Berry,Flowery,Pungent"
Burmese-Kush,hybrid,4.2,"Uplifted,Relaxed,Happy,Euphoric,Creative","Pungent,Pine,Earthy"
Burnt-Cookies,hybrid,4.5,"Social, Uplifted, Happy, Tingly"," Citrus, Sour,Lemon, Fruity"
Butter-Og,indica,4.3,"Relaxed,Sleepy,Happy,Euphoric,Giggly","Pungent,Butter,Sweet"
Butterscotch,indica,4.3,"Relaxed,Euphoric,Focused,Creative,Sleepy","Nutty,Citrus,Pine"
C13-Haze,sativa,4.4,"Euphoric,Creative,Uplifted,Energetic,Giggly","Pungent,Lemon,Earthy"
C3,hybrid,5.0,"Relaxed, Sleepy, Uplifted, Euphoric"," Spicy,Sweet, Lemon"
C3Po,hybrid,4.3,"Relaxed,Hungry,Sleepy,Focused,Uplifted","Lemon,Sweet,Pine"
C4,hybrid,4.5,"Relaxed,Happy,Euphoric,Creative,Uplifted","Flowery,Lime,Earthy"
Cabbage-Patch,hybrid,4.4,"Relaxed,Happy,Uplifted,Giggly,Energetic","Grapefruit,Nutty,Menthol"
Cackleberry,hybrid,4.7,"Euphoric, Relaxed, Social","Berry, Spicy, Sweet, Fruity"
Cactus,indica,4.6,"Euphoric,Happy,Uplifted,Relaxed,Hungry","Pungent,Citrus,Earthy"
Cactus-Cooler,hybrid,4.5,"Creative,Euphoric,Focused,Happy,Energetic","Citrus,Sweet,Earthy"
Cadillac-Purple,indica,4.2,"Relaxed,Sleepy,Tingly,Happy,Hungry","Berry,Grape,Earthy"
Cali-Gold,hybrid,4.5,"Uplifted,Relaxed,Happy,Sleepy,Euphoric","Skunk,Pine,Earthy"
Cali-Jack,hybrid,4.7,"Creative,Happy,Talkative,Uplifted,Euphoric","Diesel,Sweet,Skunk"
Cali-Kush,hybrid,4.2,"Relaxed,Happy,Hungry,Euphoric,Uplifted","Woody,Sweet,Earthy"
California-Grapefruit,indica,4.4,"Euphoric,Relaxed,Tingly,Talkative,Uplifted","Grapefruit,Citrus,Pepper"
California-Hash-Plant,indica,5.0,"Uplifted,Creative,Energetic,Giggly,Happy",Citrus
California-Orange,hybrid,4.3,"Happy,Relaxed,Uplifted,Euphoric,Giggly","Citrus,Orange,Sweet"
California-Sour,hybrid,3.6,"Focused,Relaxed,Euphoric,Energetic,Uplifted","Citrus,Diesel,Lemon"
Calyx-Og,hybrid,4.4,"Creative, Hungry, Uplifted, Relaxed"," Citrus, Sour,Earthy"
Cambodian,sativa,4.2,"Energetic,Talkative,Happy,Relaxed,Uplifted","Tropical,Flowery,Earthy"
Cambodian-Haze,sativa,4.6,"Euphoric,Happy,Aroused,Creative,Relaxed","Citrus,Lemon,Sweet"
Candy-Cane,indica,4.4,"Relaxed,Sleepy,Euphoric,Hungry,Happy","Sweet,Pine,Tropical"
Candy-Jack,sativa,4.3,"Happy,Energetic,Euphoric,Creative,Focused","Pungent,Citrus,Skunk"
Candyland,sativa,4.6,"Happy,Uplifted,Energetic,Euphoric,Creative","Flowery,Sweet,Earthy"
Canna-Tsu,hybrid,4.5,"Relaxed,Happy,Focused,Uplifted,Creative","Grapefruit,Woody,Earthy"
Cannadential,hybrid,4.1,"Euphoric,Happy,Relaxed,Uplifted,Energetic","Pungent,Diesel,Earthy"
Cannalope-Haze,sativa,4.2,"Happy,Relaxed,Energetic,Uplifted,Creative","Flowery,Sweet,Tropical"
Cannalope-Kush,hybrid,4.5,"Uplifted,Happy,Relaxed,Euphoric,Focused","Woody,Sweet,Earthy"
Cannasutra,indica,4.8,"Relaxed,Euphoric,Sleepy,Happy,Aroused","Berry,Sweet,Earthy"
Cannatonic,hybrid,4.3,"Relaxed,Happy,Uplifted,Focused,Euphoric","Woody,Sweet,Earthy"
Capers,indica,4.6,"Sleepy,Happy,Hungry,Relaxed,Uplifted","Pungent,Skunk,Earthy"
Capleton,hybrid,4.0,"Sleepy,Tingly,Euphoric,Giggly,Happy","Flowery,Rose,Lavender"
Captain-America-Og,hybrid,4.6,"Relaxed,Uplifted,Euphoric,Creative,Happy","Berry,Diesel,Orange"
Captains-Cake,hybrid,4.7,"Euphoric,Relaxed,Energetic,Happy,Focused","Citrus,Sweet,Earthy"
Caramel-Candy-Kush,hybrid,4.6,"Relaxed,Happy,Focused,Creative,Talkative","Coffee,Vanilla,Sweet"
Caramel-Kona-Coffee-Cookies,hybrid,4.4,"Talkative, Creative, Energetic, Uplifted"," Spicy,Sweet, Coffee"
Caramel-Kona-Coffee-Kush,indica,4.5,"Relaxed,Uplifted,Tingly,Hungry,Happy","Woody,Coffee,Vanilla"
Caramelicious,hybrid,4.2,"Focused,Happy,Relaxed,Euphoric,Creative","Coffee,Vanilla,Sweet"
Caramella,indica,4.8,"Aroused,Euphoric,Relaxed","Menthol, Spicy,Herbal, Sweet"
Caramelo,sativa,4.1,"Energetic,Happy,Uplifted,Relaxed,Talkative","Coffee,Sweet,Vanilla"
Carl-Sagan,hybrid,4.4,"Happy,Relaxed,Uplifted,Focused,Aroused","Sweet,Pine,Earthy"
Carnival,sativa,4.3,"Talkative,Uplifted,Happy,Energetic,Relaxed","Pine,Earthy"
Cascadia-Kush,indica,4.6,"Relaxed,Tingly,Sleepy,Aroused,Uplifted","Flowery,Sweet,Earthy"
Casey-Jones,sativa,4.2,"Uplifted,Happy,Energetic,Creative,Hungry","Citrus,Sweet,Earthy"
Cashus-Clay,hybrid,4.2,"Uplifted,Euphoric,Happy,Talkative,Energetic","Pungent,Butter,Earthy"
Casper-Og,indica,5.0,"Relaxed,Sleepy,Euphoric,Hungry,Uplifted","Pungent,Sweet,Earthy"
Cat-Piss,sativa,3.9,"Happy,Uplifted,Euphoric,Relaxed,Talkative","Earthy,Woody,Blueberry,Cheese"
Cataract-Kush,hybrid,4.4,"Relaxed,Happy,Hungry,Euphoric,Uplifted","Pungent,Citrus,Sweet"
Catfish,sativa,4.8,"Uplifted,Creative,Energetic,Euphoric,Happy","Chemical,Ammonia,Earthy"
Cbd-Blue-Shark,hybrid,4.3,"Relaxed,Happy,Uplifted,Focused,Euphoric","Blueberry,Flowery,Earthy"
Cbd-Critical-Cure,indica,4.6,"Relaxed,Sleepy,Happy,Focused,Euphoric","Berry,Sweet,Earthy"
Cbd-Critical-Mass,indica,4.6,"Relaxed,Happy,Sleepy,Hungry,Uplifted","Pungent,Menthol,Earthy"
Cbd-Kush,hybrid,4.5,"Relaxed,Happy,Focused,Uplifted,Euphoric","Earthy, Woody, Spicy,Herbal"
Cbd-Lilly,sativa,4.5,"Focused,Happy,Sleepy,Energetic,Euphoric",Citrus
Cbd-Mango-Haze,sativa,4.4,"Focused,Relaxed,Uplifted,Energetic,Euphoric","Flowery,Mango,Tropical"
Cbd-Ox,indica,5.0,"Aroused,Sleepy,Happy,Euphoric,Hungry","Berry,Flowery,Sweet"
Cbd-Rich-Blessing,sativa,4.4,"Relaxed, Happy, Uplifted"," Citrus, Sour,Earthy"
Cbd-Shark,indica,4.5,"Relaxed,Tingly,Happy,Sleepy,Euphoric","Nutty,Pungent,Earthy"
Cello-Sweet-Og,hybrid,4.0,"Sleepy,Relaxed,Uplifted,Creative,Euphoric","Sweet, Spicy,Herbal, Pineapple"
Central-American,sativa,4.0,"Relaxed,Euphoric,Happy,Hungry","Diesel,Sweet,Earthy"
Cerebro-Haze,sativa,4.2,"Uplifted,Happy,Relaxed,Creative,Energetic","Citrus,Pepper,Vanilla"
Chairman-Chem-Sou,hybrid,4.4,"Energetic,Happy,Uplifted,Creative,Euphoric","Citrus,Diesel,Pepper"
Champagne-Kush,hybrid,4.2,"Happy,Uplifted,Relaxed,Euphoric,Talkative","Citrus,Sweet,Earthy"
